"DolphinID","Species","Spe_code","Age","Sex","Stain","Location"
9,"Delphinus delphis","Del_delp",11.5,"Male","Mayer","Scotland"
9,"Delphinus delphis","Del_delp",11.5,"Male","Elrich","Scotland"
9,"Delphinus delphis","Del_delp",11,"Male","Toluidine","Scotland"
25,"Delphinus delphis","Del_delp",1.5,"Male","Mayer","Scotland"
25,"Delphinus delphis","Del_delp",1.5,"Male","Elrich","Scotland"
25,"Delphinus delphis","Del_delp",1.5,"Male","Toluidine","Scotland"
37,"Delphinus delphis","Del_delp",2,"Male","Mayer","Scotland"
37,"Delphinus delphis","Del_delp",2,"Male","Elrich","Scotland"
37,"Delphinus delphis","Del_delp",3,"Male","Toluidine","Scotland"
47,"Delphinus delphis","Del_delp",12,"Female","Mayer","Spain"
47,"Delphinus delphis","Del_delp",9,"Female","Elrich","Spain"
47,"Delphinus delphis","Del_delp",10,"Female","Toluidine","Spain"
51,"Delphinus delphis","Del_delp",15,"Female","Mayer","Spain"
51,"Delphinus delphis","Del_delp",13,"Female","Elrich","Spain"
51,"Delphinus delphis","Del_delp",15,"Female","Toluidine","Spain"
55,"Delphinus delphis","Del_delp",0.75,"Female","Mayer","Spain"
55,"Delphinus delphis","Del_delp",0.5,"Female","Elrich","Spain"
55,"Delphinus delphis","Del_delp",0.5,"Female","Toluidine","Spain"
57,"Delphinus delphis","Del_delp",15,"Female","Mayer","Spain"
57,"Delphinus delphis","Del_delp",13,"Female","Elrich","Spain"
57,"Delphinus delphis","Del_delp",15,"Female","Toluidine","Spain"
30,"Lagenorhynchus acutus","Lag_acut",9.5,"Male","Mayer","Scotland"
30,"Lagenorhynchus acutus","Lag_acut",7.5,"Male","Elrich","Scotland"
30,"Lagenorhynchus acutus","Lag_acut",7,"Male","Toluidine","Scotland"
31,"Lagenorhynchus acutus","Lag_acut",11.5,"Male","Mayer","Scotland"
31,"Lagenorhynchus acutus","Lag_acut",12,"Male","Elrich","Scotland"
31,"Lagenorhynchus acutus","Lag_acut",10,"Male","Toluidine","Scotland"
36,"Lagenorhynchus acutus","Lag_acut",1.5,"Female","Mayer","Scotland"
36,"Lagenorhynchus acutus","Lag_acut",1.5,"Female","Elrich","Scotland"
36,"Lagenorhynchus acutus","Lag_acut",1.5,"Female","Toluidine","Scotland"
5,"Phocoena phocoena","Pho_phoc",1.25,"Male","Mayer","Scotland"
5,"Phocoena phocoena","Pho_phoc",1.25,"Male","Elrich","Scotland"
5,"Phocoena phocoena","Pho_phoc",1.5,"Male","Toluidine","Scotland"
6,"Phocoena phocoena","Pho_phoc",2.5,"Female","Mayer","Scotland"
6,"Phocoena phocoena","Pho_phoc",2.5,"Female","Elrich","Scotland"
6,"Phocoena phocoena","Pho_phoc",2.5,"Female","Toluidine","Scotland"
7,"Phocoena phocoena","Pho_phoc",7.5,"Male","Mayer","Scotland"
7,"Phocoena phocoena","Pho_phoc",7,"Male","Elrich","Scotland"
7,"Phocoena phocoena","Pho_phoc",8,"Male","Toluidine","Scotland"
8,"Phocoena phocoena","Pho_phoc",1.5,"Male","Mayer","Scotland"
8,"Phocoena phocoena","Pho_phoc",1.5,"Male","Elrich","Scotland"
8,"Phocoena phocoena","Pho_phoc",1.5,"Male","Toluidine","Scotland"
10,"Phocoena phocoena","Pho_phoc",10,"Unidentified","Mayer","Scotland"
10,"Phocoena phocoena","Pho_phoc",8.5,"Unidentified","Elrich","Scotland"
10,"Phocoena phocoena","Pho_phoc",10,"Unidentified","Toluidine","Scotland"
11,"Phocoena phocoena","Pho_phoc",5,"Female","Mayer","Scotland"
11,"Phocoena phocoena","Pho_phoc",7.5,"Female","Elrich","Scotland"
11,"Phocoena phocoena","Pho_phoc",6.5,"Female","Toluidine","Scotland"
12,"Phocoena phocoena","Pho_phoc",1.75,"Female","Mayer","Scotland"
12,"Phocoena phocoena","Pho_phoc",1.75,"Female","Elrich","Scotland"
12,"Phocoena phocoena","Pho_phoc",1.75,"Female","Toluidine","Scotland"
13,"Phocoena phocoena","Pho_phoc",1.25,"Female","Mayer","Scotland"
13,"Phocoena phocoena","Pho_phoc",1.25,"Female","Elrich","Scotland"
13,"Phocoena phocoena","Pho_phoc",1.25,"Female","Toluidine","Scotland"
14,"Phocoena phocoena","Pho_phoc",8,"Male","Mayer","Scotland"
14,"Phocoena phocoena","Pho_phoc",7,"Male","Elrich","Scotland"
14,"Phocoena phocoena","Pho_phoc",7.5,"Male","Toluidine","Scotland"
15,"Phocoena phocoena","Pho_phoc",0.75,"Male","Mayer","Scotland"
15,"Phocoena phocoena","Pho_phoc",0.75,"Male","Elrich","Scotland"
15,"Phocoena phocoena","Pho_phoc",0.75,"Male","Toluidine","Scotland"
17,"Phocoena phocoena","Pho_phoc",0.5,"Female","Mayer","Scotland"
17,"Phocoena phocoena","Pho_phoc",0.5,"Female","Elrich","Scotland"
17,"Phocoena phocoena","Pho_phoc",0.5,"Female","Toluidine","Scotland"
18,"Phocoena phocoena","Pho_phoc",0.75,"Male","Mayer","Scotland"
18,"Phocoena phocoena","Pho_phoc",0.75,"Male","Elrich","Scotland"
18,"Phocoena phocoena","Pho_phoc",0.75,"Male","Toluidine","Scotland"
19,"Phocoena phocoena","Pho_phoc",1.5,"Male","Mayer","Scotland"
19,"Phocoena phocoena","Pho_phoc",1.25,"Male","Elrich","Scotland"
19,"Phocoena phocoena","Pho_phoc",1.25,"Male","Toluidine","Scotland"
20,"Phocoena phocoena","Pho_phoc",1.25,"Male","Mayer","Scotland"
20,"Phocoena phocoena","Pho_phoc",1.25,"Male","Elrich","Scotland"
20,"Phocoena phocoena","Pho_phoc",1.25,"Male","Toluidine","Scotland"
21,"Phocoena phocoena","Pho_phoc",2,"Female","Mayer","Scotland"
21,"Phocoena phocoena","Pho_phoc",2,"Female","Elrich","Scotland"
21,"Phocoena phocoena","Pho_phoc",2,"Female","Toluidine","Scotland"
22,"Phocoena phocoena","Pho_phoc",7,"Male","Mayer","Scotland"
22,"Phocoena phocoena","Pho_phoc",7.5,"Male","Elrich","Scotland"
22,"Phocoena phocoena","Pho_phoc",8,"Male","Toluidine","Scotland"
23,"Phocoena phocoena","Pho_phoc",10.5,"Female","Mayer","Scotland"
23,"Phocoena phocoena","Pho_phoc",7,"Female","Elrich","Scotland"
23,"Phocoena phocoena","Pho_phoc",10,"Female","Toluidine","Scotland"
24,"Phocoena phocoena","Pho_phoc",0.75,"Male","Mayer","Scotland"
24,"Phocoena phocoena","Pho_phoc",0.75,"Male","Elrich","Scotland"
24,"Phocoena phocoena","Pho_phoc",0.75,"Male","Toluidine","Scotland"
26,"Phocoena phocoena","Pho_phoc",1.5,"Female","Mayer","Scotland"
26,"Phocoena phocoena","Pho_phoc",1.25,"Female","Elrich","Scotland"
26,"Phocoena phocoena","Pho_phoc",1.25,"Female","Toluidine","Scotland"
27,"Phocoena phocoena","Pho_phoc",11,"Female","Mayer","Scotland"
27,"Phocoena phocoena","Pho_phoc",8,"Female","Elrich","Scotland"
27,"Phocoena phocoena","Pho_phoc",10,"Female","Toluidine","Scotland"
28,"Phocoena phocoena","Pho_phoc",10,"Female","Mayer","Scotland"
28,"Phocoena phocoena","Pho_phoc",9,"Female","Elrich","Scotland"
28,"Phocoena phocoena","Pho_phoc",9,"Female","Toluidine","Scotland"
29,"Phocoena phocoena","Pho_phoc",10,"Male","Mayer","Scotland"
29,"Phocoena phocoena","Pho_phoc",7.5,"Male","Elrich","Scotland"
29,"Phocoena phocoena","Pho_phoc",8,"Male","Toluidine","Scotland"
32,"Phocoena phocoena","Pho_phoc",1.5,"Female","Mayer","Scotland"
32,"Phocoena phocoena","Pho_phoc",1.5,"Female","Elrich","Scotland"
32,"Phocoena phocoena","Pho_phoc",1.5,"Female","Toluidine","Scotland"
33,"Phocoena phocoena","Pho_phoc",2.5,"Male","Mayer","Scotland"
33,"Phocoena phocoena","Pho_phoc",1.5,"Male","Elrich","Scotland"
33,"Phocoena phocoena","Pho_phoc",2.5,"Male","Toluidine","Scotland"
35,"Phocoena phocoena","Pho_phoc",8,"Male","Mayer","Scotland"
35,"Phocoena phocoena","Pho_phoc",7,"Male","Elrich","Scotland"
35,"Phocoena phocoena","Pho_phoc",8,"Male","Toluidine","Scotland"
38,"Phocoena phocoena","Pho_phoc",1.5,"Male","Mayer","Scotland"
38,"Phocoena phocoena","Pho_phoc",1.5,"Male","Elrich","Scotland"
38,"Phocoena phocoena","Pho_phoc",1.5,"Male","Toluidine","Scotland"
1,"Stenella coeruleoalba","Ste_coer",1.5,"Male","Mayer","Spain"
1,"Stenella coeruleoalba","Ste_coer",1.5,"Male","Elrich","Spain"
1,"Stenella coeruleoalba","Ste_coer",1.5,"Male","Toluidine","Spain"
4,"Stenella coeruleoalba","Ste_coer",15,"Male","Mayer","Spain"
4,"Stenella coeruleoalba","Ste_coer",14,"Male","Elrich","Spain"
4,"Stenella coeruleoalba","Ste_coer",13,"Male","Toluidine","Spain"
34,"Stenella coeruleoalba","Ste_coer",1.5,"Male","Mayer","Scotland"
34,"Stenella coeruleoalba","Ste_coer",1.25,"Male","Elrich","Scotland"
34,"Stenella coeruleoalba","Ste_coer",1.75,"Male","Toluidine","Scotland"
41,"Stenella coeruleoalba","Ste_coer",16,"Male","Mayer","Spain"
41,"Stenella coeruleoalba","Ste_coer",14,"Male","Elrich","Spain"
41,"Stenella coeruleoalba","Ste_coer",15.5,"Male","Toluidine","Spain"
49,"Stenella coeruleoalba","Ste_coer",16.75,"Male","Mayer","Spain"
49,"Stenella coeruleoalba","Ste_coer",13,"Male","Elrich","Spain"
49,"Stenella coeruleoalba","Ste_coer",14,"Male","Toluidine","Spain"
53,"Stenella coeruleoalba","Ste_coer",1.25,"Female","Mayer","Spain"
53,"Stenella coeruleoalba","Ste_coer",1,"Female","Elrich","Spain"
53,"Stenella coeruleoalba","Ste_coer",1.25,"Female","Toluidine","Spain"
54,"Stenella coeruleoalba","Ste_coer",17,"Male","Mayer","Spain"
54,"Stenella coeruleoalba","Ste_coer",14,"Male","Elrich","Spain"
54,"Stenella coeruleoalba","Ste_coer",15,"Male","Toluidine","Spain"
58,"Stenella coeruleoalba","Ste_coer",23,"Male","Mayer","Spain"
58,"Stenella coeruleoalba","Ste_coer",18,"Male","Elrich","Spain"
58,"Stenella coeruleoalba","Ste_coer",20,"Male","Toluidine","Spain"
61,"Stenella coeruleoalba","Ste_coer",20,"Male","Mayer","Spain"
61,"Stenella coeruleoalba","Ste_coer",16,"Male","Elrich","Spain"
61,"Stenella coeruleoalba","Ste_coer",18,"Male","Toluidine","Spain"
2,"Stenella frontalis","Ste_fron",25,"Female","Mayer","Spain"
2,"Stenella frontalis","Ste_fron",24,"Female","Elrich","Spain"
2,"Stenella frontalis","Ste_fron",23,"Female","Toluidine","Spain"
3,"Stenella frontalis","Ste_fron",9.5,"Female","Mayer","Spain"
3,"Stenella frontalis","Ste_fron",10,"Female","Elrich","Spain"
3,"Stenella frontalis","Ste_fron",10,"Female","Toluidine","Spain"
39,"Stenella frontalis","Ste_fron",1.75,"Female","Mayer","Spain"
39,"Stenella frontalis","Ste_fron",1,"Female","Elrich","Spain"
39,"Stenella frontalis","Ste_fron",1.5,"Female","Toluidine","Spain"
40,"Stenella frontalis","Ste_fron",1.5,"Female","Mayer","Spain"
40,"Stenella frontalis","Ste_fron",1,"Female","Elrich","Spain"
40,"Stenella frontalis","Ste_fron",1,"Female","Toluidine","Spain"
45,"Stenella frontalis","Ste_fron",0.5,"Male","Mayer","Spain"
45,"Stenella frontalis","Ste_fron",0,"Male","Elrich","Spain"
45,"Stenella frontalis","Ste_fron",1.5,"Male","Toluidine","Spain"
50,"Stenella frontalis","Ste_fron",8,"Male","Mayer","Spain"
50,"Stenella frontalis","Ste_fron",6,"Male","Elrich","Spain"
50,"Stenella frontalis","Ste_fron",7,"Male","Toluidine","Spain"
52,"Stenella frontalis","Ste_fron",0.25,"Female","Mayer","Spain"
52,"Stenella frontalis","Ste_fron",0,"Female","Elrich","Spain"
52,"Stenella frontalis","Ste_fron",0.5,"Female","Toluidine","Spain"
56,"Stenella frontalis","Ste_fron",0.75,"Male","Mayer","Spain"
56,"Stenella frontalis","Ste_fron",0.5,"Male","Elrich","Spain"
56,"Stenella frontalis","Ste_fron",1,"Male","Toluidine","Spain"
60,"Stenella frontalis","Ste_fron",17,"Female","Mayer","Spain"
60,"Stenella frontalis","Ste_fron",14,"Female","Elrich","Spain"
60,"Stenella frontalis","Ste_fron",15.5,"Female","Toluidine","Spain"
42,"Tursiops truncatus","Tur_trun",4,"Male","Mayer","Spain"
42,"Tursiops truncatus","Tur_trun",2,"Male","Elrich","Spain"
42,"Tursiops truncatus","Tur_trun",4,"Male","Toluidine","Spain"
43,"Tursiops truncatus","Tur_trun",5,"Male","Mayer","Spain"
43,"Tursiops truncatus","Tur_trun",3,"Male","Elrich","Spain"
43,"Tursiops truncatus","Tur_trun",4,"Male","Toluidine","Spain"
44,"Tursiops truncatus","Tur_trun",1.5,"Female","Mayer","Spain"
44,"Tursiops truncatus","Tur_trun",1.5,"Female","Elrich","Spain"
44,"Tursiops truncatus","Tur_trun",1.5,"Female","Toluidine","Spain"
46,"Tursiops truncatus","Tur_trun",19,"Male","Mayer","Spain"
46,"Tursiops truncatus","Tur_trun",11,"Male","Elrich","Spain"
46,"Tursiops truncatus","Tur_trun",14,"Male","Toluidine","Spain"
48,"Tursiops truncatus","Tur_trun",14,"Female","Mayer","Spain"
48,"Tursiops truncatus","Tur_trun",10,"Female","Elrich","Spain"
48,"Tursiops truncatus","Tur_trun",12,"Female","Toluidine","Spain"
59,"Tursiops truncatus","Tur_trun",3.75,"Female","Mayer","Spain"
59,"Tursiops truncatus","Tur_trun",3,"Female","Elrich","Spain"
59,"Tursiops truncatus","Tur_trun",3,"Female","Toluidine","Spain"
